Sentence,Span,loss,hidden_states
"Next plague outbreak in Madagascar could be 'stronger': WHO
",,0.6888342499732971,"tensor([[[ 0.3111, -0.4964,  0.1956,  ..., -0.4686,  0.1522,  0.2048],
         [ 1.2507,  0.3723, -0.5881,  ...,  0.0925, -0.5235, -0.2666],
         [-0.4353, -0.0933,  0.2690,  ...,  1.2568, -0.0562, -0.5945],
         ...,
         [-0.3495,  0.1948,  0.1401,  ...,  0.6259,  0.3641, -0.8520],
         [-0.7067,  0.3825, -0.7533,  ...,  0.6910,  0.4643,  0.9586],
         [-0.4808,  0.3788, -0.1198,  ...,  0.1549,  0.1395, -0.0936]]])"
"Geneva - The World Health Organisation chief on Wednesday said a deadly plague epidemic appeared to have been brought under control in Madagascar, but warned the next outbreak would likely be stronger.
",appeared,0.6597325801849365,"tensor([[[ 0.0217, -0.3119, -0.2884,  ..., -0.2064,  0.2133, -0.5857],
         [ 0.2960,  0.2061,  0.0644,  ...,  0.8549,  1.1003,  0.3399],
         [-0.7790,  0.4781,  0.0859,  ..., -0.2489,  0.5078, -0.5689],
         ...,
         [ 0.4060,  0.3558, -0.2391,  ...,  0.2867, -0.6915,  0.5594],
         [-1.0875, -0.2597, -0.7101,  ..., -0.5297,  0.4988, -2.0528],
         [-0.0786, -0.0515,  0.0537,  ..., -0.0396,  0.5123,  0.4185]]])"
"""The next transmission could be more pronounced or stronger,"" WHO Director-General Tedros Adhanom Ghebreyesus told reporters in Geneva, insisting that ""the issue is serious.""
",The next transmission could be more pronounced or stronger,0.6548726558685303,"tensor([[[ 0.4491, -0.1028, -0.7916,  ...,  0.3036,  0.2366,  0.0722],
         [-0.4367,  0.5360, -0.0514,  ..., -0.0397,  0.6783, -0.5318],
         [ 0.0145, -0.3267,  0.7075,  ..., -0.4534,  0.5359, -0.0758],
         ...,
         [-0.3014,  0.3691,  0.4392,  ..., -0.1682, -0.7183, -0.9727],
         [-0.3333,  0.2205,  0.0691,  ...,  0.1718,  0.6800,  0.5902],
         [ 0.3797,  0.3613, -0.6547,  ...,  0.5909,  0.4758, -0.0135]]])"
"An outbreak of both bubonic plague, which is spread by infected rats via flea bites, and pneumonic plague, spread person to person, has killed more than 200 people in the Indian Ocean island nation since August.
",,0.7331703305244446,"tensor([[[ 0.0055, -0.0689, -0.4353,  ..., -0.3446, -0.2639,  0.2751],
         [-0.1158, -0.0309,  0.1354,  ...,  1.4120,  0.1107, -0.5504],
         [-0.6860,  0.4399,  0.2051,  ...,  0.4881,  0.3567,  0.2992],
         ...,
         [-0.7791,  1.0915,  1.0680,  ...,  0.1353,  0.5620,  0.6609],
         [-0.5088,  0.2311, -0.9366,  ...,  0.1393, -1.0390, -0.8621],
         [-0.2778,  0.4552, -0.0067,  ...,  0.3817,  0.5308,  0.6561]]])"
"Madagascar has suffered bubonic plague outbreaks almost every year since 1980, often caused by rats fleeing forest fires.
",,0.6930703520774841,"tensor([[[ 0.0090,  0.0774, -0.8153,  ...,  0.5743, -0.0043,  0.2117],
         [-0.0674,  0.1738, -0.6749,  ...,  0.5526, -0.2052,  0.1495],
         [-0.3399,  0.0746, -0.1577,  ...,  0.0150, -0.2445, -0.7046],
         ...,
         [ 1.2608,  0.8101, -0.6815,  ...,  0.4860, -0.2353, -0.4972],
         [ 0.4592,  0.7408, -0.4457,  ...,  0.1596,  0.7552, -0.6778],
         [-0.0713,  0.3700, -0.2071,  ...,  0.3932,  0.4813,  0.3744]]])"
"The disease tends to make a comeback each hot rainy season, from September to April.
",,0.5405392646789551,"tensor([[[-0.1885,  0.0200, -0.2144,  ..., -0.3234,  0.1177, -0.1013],
         [-0.1849,  0.2175,  0.7302,  ...,  0.8159, -0.2123,  0.2103],
         [-1.5175, -1.0796, -0.4418,  ...,  0.3824,  0.1874,  0.0663],
         ...,
         [ 0.2818,  0.6475, -0.1315,  ...,  0.6784, -0.1166,  0.6335],
         [-0.8733,  0.1492, -0.7410,  ...,  0.1743, -1.1931, -0.2840],
         [-0.4888,  0.5434, -0.0858,  ...,  0.6031,  0.3450,  0.5770]]])"
"On average, between 300 and 600 infections are recorded every year among a population approaching 25 million people, according to a UN estimate.
",,0.710503876209259,"tensor([[[ 9.3529e-04,  1.0119e-01, -1.2325e-01,  ...,  1.9429e-01,
          -3.6868e-01,  4.2580e-01],
         [-5.4759e-02,  5.8982e-01, -6.4406e-01,  ...,  8.4698e-02,
          -1.3667e-02,  5.4225e-02],
         [ 4.6705e-04,  1.6225e-01, -6.4443e-02,  ...,  4.9443e-01,
           6.9413e-01,  3.6286e-01],
         ...,
         [-7.1348e-01, -1.1932e-01,  1.8292e-01,  ...,  2.5421e-01,
           6.6822e-02,  2.8552e-01],
         [ 6.0729e-01, -1.9575e-01, -6.7306e-01,  ...,  5.0915e-01,
          -1.1265e+00, -3.4531e-02],
         [-2.6634e-01,  5.4400e-01, -2.2447e-01,  ...,  4.0220e-01,
           4.9582e-01,  5.6041e-01]]])"
"But Tedros voiced alarm that ""plague in Madagascar behaved in a very, very different way this year.""
","a very, very different",0.7486339807510376,"tensor([[[ 0.3332,  0.0059, -0.2212,  ...,  0.1487,  0.2896,  0.5639],
         [ 0.6521, -1.3776,  0.5305,  ...,  0.1726,  0.8173,  0.4810],
         [-1.0421,  0.6950,  0.8791,  ..., -0.1697,  0.8982, -0.3660],
         ...,
         [ 0.9613,  0.6266, -0.9380,  ...,  0.4002,  0.2929, -0.5721],
         [-0.0228,  0.4207, -0.3288,  ...,  0.4464,  0.5178,  0.5501],
         [ 0.4616,  0.4341, -0.8540,  ...,  0.5988,  0.5947, -0.2288]]])"
"Cases sprang up far earlier than usual and, instead of being confined to the countryside, the disease infiltrated towns.
",,0.568153440952301,"tensor([[[ 0.2166, -0.3380,  0.2218,  ...,  0.0511, -0.2052,  0.1906],
         [-1.0337, -0.7262, -0.3006,  ...,  0.3809,  1.3247, -1.0191],
         [-0.3833, -0.4840, -0.3021,  ...,  0.5730,  0.8001,  0.1338],
         ...,
         [ 0.1152,  0.6249,  0.2159,  ..., -0.7050, -0.0816,  0.4083],
         [-0.2755, -0.3687, -0.8053,  ...,  0.0215,  1.0737, -0.4111],
         [-0.0713,  0.3700, -0.2071,  ...,  0.3932,  0.4813,  0.3744]]])"
"The authorities recorded more than 2 000 cases, and Tedros said Wednesday the death toll stood at 207.
",,0.4956261217594147,"tensor([[[-0.1885,  0.0200, -0.2144,  ..., -0.3234,  0.1177, -0.1013],
         [-0.5980,  0.7078, -0.5048,  ...,  0.5378, -0.0499,  0.2861],
         [-0.5345,  0.4265, -0.3422,  ...,  0.2023,  0.2933, -1.2456],
         ...,
         [-0.6604,  0.3127,  0.1655,  ...,  0.0856, -0.7984,  0.4111],
         [ 0.4308,  0.2836, -0.1660,  ...,  0.2125,  0.1960, -0.2841],
         [-0.0228,  0.4207, -0.3288,  ...,  0.4464,  0.5178,  0.5501]]])"
